gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,34.89,34.89,0
1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,68.2,2262.74,0
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,63.9,128.33,1
1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,49.91,2171.96,0
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,81.86,175.58,1
0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,115.37,949.97,1
1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,102.72,2247.47,0
0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,35.5,360.26,0
0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,123.67,3594.51,1
1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,66.56,4134.63,0
1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,57.49,676.17,0
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,22.71,391.67,0
1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,119.58,6769.72,0
1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,120.36,5845.22,1
1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,122.28,3113.38,0
0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,131.28,9151.82,0
0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,24.06,1191.95,0
1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,125.5,8683.28,0
0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,64.67,619.01,1
0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,104.87,2169.46,0
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,46.81,46.81,1
1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,22.91,234.0,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,23.47,23.47,1
0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,69.98,4095.07,0
1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,69.9,3483.58,0
