gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,15,0,1,0,0,2,0,0,0,0,0,1,2,44.3,29.85,0
1,0,0,0,45,1,0,0,2,0,2,0,0,0,1,0,3,75.9,1889.5,0
1,0,0,0,14,1,0,0,2,2,0,0,0,0,0,1,3,64.75,108.15,1
1,0,0,0,58,0,1,0,2,0,2,2,0,0,1,0,0,53.19,1840.75,0
0,0,0,0,12,1,0,1,0,0,0,0,0,0,0,1,2,100.37,151.65,1
0,0,0,0,21,1,2,1,0,0,2,0,2,2,0,1,2,112.46,820.5,1
1,0,0,1,40,1,2,1,0,2,0,0,2,0,0,1,1,98.4,1949.4,0
0,0,0,0,18,0,1,0,2,0,0,0,0,0,0,0,3,54.84,301.9,0
0,0,1,0,45,1,2,1,0,0,2,2,2,2,0,1,2,138.08,3046.05,1
1,0,0,1,72,1,0,0,2,2,0,0,0,0,1,0,0,85.41,3487.95,0
1,0,1,1,23,1,0,0,2,0,0,0,0,0,0,1,3,88.28,587.45,0
1,0,0,0,31,1,0,2,1,1,1,1,1,1,2,0,1,58.32,326.8,0
1,0,1,0,68,1,2,1,0,0,2,0,2,2,1,0,1,113.15,5681.1,0
1,0,0,0,62,1,2,1,0,2,2,0,2,2,0,1,0,121.21,5036.3,1
1,0,0,0,38,1,0,1,2,0,2,2,2,2,0,1,2,112.94,2686.05,0
0,0,1,1,70,1,2,1,2,2,2,2,2,2,2,0,1,123.95,7895.15,0
0,0,0,0,66,1,0,2,1,1,1,1,1,1,1,0,3,49.23,1022.95,0
1,0,0,1,72,1,2,1,2,0,2,0,2,2,2,0,0,128.91,7382.25,0
0,0,1,1,15,1,0,0,0,0,2,2,0,0,0,0,1,86.85,528.35,1
0,0,0,0,34,1,0,1,0,2,2,0,0,2,0,1,2,103.13,1862.9,0
1,1,0,0,15,0,1,0,0,0,2,0,0,2,0,1,2,55.26,39.65,1
1,0,1,0,30,1,0,2,1,1,1,1,1,1,1,0,0,44.55,202.25,0
1,0,0,0,7,1,0,2,1,1,1,1,1,1,0,0,3,48.6,20.15,1
0,0,1,0,66,1,2,0,0,2,0,2,0,0,2,1,1,66.82,3505.1,0
1,0,1,1,63,1,0,0,2,2,0,2,0,0,0,0,1,77.68,2970.3,0
0,0,0,0,48,1,0,0,2,2,0,0,0,0,0,1,0,78.49,1530.6,0
1,0,1,1,59,1,2,1,0,2,0,0,2,2,0,1,2,125.61,4749.15,1
1,0,1,1,8,0,1,0,0,2,0,0,0,0,0,0,2,58.05,30.2,1
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,109.65,6369.45,0
0,0,0,1,27,1,0,0,0,0,0,0,2,2,0,1,3,74.82,1093.1,1
0,1,1,0,72,1,2,1,2,2,2,2,0,0,2,1,1,100.95,6766.95,0
1,1,1,0,6,1,0,1,0,0,2,0,2,2,0,1,1,114.04,181.65,0
0,0,1,1,42,1,0,0,2,2,2,2,0,0,1,0,3,83.84,1874.45,0
1,0,0,0,17,1,0,2,1,1,1,1,1,1,0,0,0,33.83,20.2,0
